structure_id,slab_num,well_id,slab_type,structure_acronym,structure_name,polygon_id,mri_voxel_x,mri_voxel_y,mri_voxel_z,mni_x,mni_y,mni_z,donor,sample
9242,18,1053,CX,cgb,"cingulum bundle, right",81149,79,61,96,14.8,-9.1,36.4,donor9861,donor9861_sample_115
4323,14,2209,CX,Cl,"claustrum, right",38881,64,86,83,30.8,-2.2,7.4,donor9861,donor9861_sample_128
4322,14,2233,CX,Cl,"claustrum, left",39255,124,87,82,-32.5,-2.9,4.9,donor9861,donor9861_sample_129
4296,16,917,CX,GPi,"globus pallidus, internal segment, left",51234,111,90,92,-19.1,-13.9,3.9,donor9861,donor9861_sample_131
4323,17,2257,CX,Cl,"claustrum, right",40314,63,87,97,31.5,-17.1,9.1,donor9861,donor9861_sample_133
4286,16,893,CX,BCd,"body of caudate nucleus, right",248616,80,74,91,13.8,-7.6,21.5,donor9861,donor9861_sample_138
4288,16,941,CX,Pu,"putamen, left",40074,119,88,91,-27.5,-12.5,5.7,donor9861,donor9861_sample_139
4323,15,2241,CX,Cl,"claustrum, right",40536,61,92,86,33.9,-6.9,1.7,donor9861,donor9861_sample_145
4322,17,2265,CX,Cl,"claustrum, left",41536,125,89,94,-33.9,-16.1,5.1,donor9861,donor9861_sample_146
4322,18,2289,CX,Cl,"claustrum, left",41476,124,80,99,-32.9,-18.7,15.7,donor9861,donor9861_sample_147
4322,15,2249,CX,Cl,"claustrum, left",40556,125,91,85,-33.7,-7.2,1.2,donor9861,donor9861_sample_148
4286,16,885,CX,BCd,"body of caudate nucleus, right",248615,79,74,91,14.9,-7.5,21.5,donor9861,donor9861_sample_166
4289,16,901,CX,Pu,"putamen, right",248612,72,84,93,22.1,-12.3,11.3,donor9861,donor9861_sample_167
4298,16,909,CX,GPe,"globus pallidus, external segment, right",248613,73,88,92,21.1,-12.4,6.9,donor9861,donor9861_sample_168
4282,16,949,CX,BCd,"body of caudate nucleus, left",40075,110,73,88,-17.8,-4.9,21.4,donor9861,donor9861_sample_175
4288,16,933,CX,Pu,"putamen, left",40074,118,88,91,-26.4,-12.5,5.7,donor9861,donor9861_sample_176
4295,16,925,CX,GPe,"globus pallidus, external segment, left",51235,114,87,91,-22.2,-12.1,6.9,donor9861,donor9861_sample_178
4284,12,549,CX,HCd,"head of caudate nucleus, right",81050,83,87,66,11.2,14.9,2.6,donor9861,donor9861_sample_220
4323,12,2689,CX,Cl,"claustrum, right",38505,71,96,67,23.8,11.6,-6.5,donor9861,donor9861_sample_306
4258,17,2491,CX,DG,"dentate gyrus, left",41207,116,105,100,-24.7,-26.6,-10.6,donor9861,donor9861_sample_307
4450,16,2658,CX,DTA,"anterior group of nuclei, right",665539,89,79,91,4.3,-9.2,16,donor9861,donor9861_sample_308
4534,16,2682,CX,Pa,"paraventricular nuclei, left of thalamus, left",665538,91,89,93,2,-14.2,5.6,donor9861,donor9861_sample_309
4307,14,2522,CX,SI,"substantia innominata, left",64824,101,96,83,-8.3,-5.9,-4,donor9861,donor9861_sample_310
4260,16,2667,CX,S,"subiculum, right",39174,68,109,98,26,-24.5,-14.3,donor9861,donor9861_sample_311
4263,16,2611,CX,CA1,"CA1 field, right",64946,60,108,97,34.5,-22.9,-13.3,donor9861,donor9861_sample_312
4264,16,2604,CX,CA2,"CA2 field, right",55429,65,105,95,29.3,-20.1,-10.6,donor9861,donor9861_sample_313
4265,16,2612,CX,CA3,"CA3 field, right",55610,64,108,97,30.3,-23,-13.4,donor9861,donor9861_sample_314
4266,16,2619,CX,CA4,"CA4 field, right",39211,62,107,96,32.4,-21.6,-12.5,donor9861,donor9861_sample_315
4267,16,2627,CX,DG,"dentate gyrus, right",39172,61,107,96,33.5,-21.6,-12.4,donor9861,donor9861_sample_316
4285,16,2596,CX,TCd,"tail of caudate nucleus, right",56066,57,106,98,37.7,-23.3,-10.9,donor9861,donor9861_sample_317
13005,16,2635,CX,LHM,"lateral hypothalamic area, mammillary region, left",240495,90,100,94,3,-18.3,-5.9,donor9861,donor9861_sample_318
13006,16,2643,CX,LHM,"lateral hypothalamic area, mammillary region, right",240497,79,100,96,14.5,-20.1,-5.3,donor9861,donor9861_sample_319
4679,16,2651,CX,PHA,"posterior hypothalamic area, left",240671,87,94,94,6.2,-16.5,0.5,donor9861,donor9861_sample_320
4693,16,2659,CX,PHA,"posterior hypothalamic area, right",240496,82,95,94,11.5,-16.7,-0.4,donor9861,donor9861_sample_321
9077,16,2683,CX,SNC,"substantia nigra, pars compacta, right",39267,71,103,97,22.9,-21.8,-8.2,donor9861,donor9861_sample_322
4395,17,2685,CX,DTA,"anterior group of nuclei, left",87539,100,82,98,-7.6,-17.7,13.9,donor9861,donor9861_sample_323
4400,17,2598,CX,DTM,"medial group of nuclei, left",87540,95,88,100,-2.4,-21.3,8,donor9861,donor9861_sample_324
4487,17,2684,CX,ILr,"rostral group of intralaminar nuclei, right",87522,87,88,103,6,-24.3,8.7,donor9861,donor9861_sample_325
4519,17,2637,CX,Sb,"subthalamic nucleus, right",87624,78,95,101,15.5,-23.9,1,donor9861,donor9861_sample_326
4534,17,2597,CX,Pa,"paraventricular nuclei, left of thalamus, left",420079,93,91,100,-0.3,-22.1,4.8,donor9861,donor9861_sample_327
4537,17,2606,CX,Pa,"paraventricular nuclei, right of thalamus, right",420080,93,94,100,-0.3,-23,1.6,donor9861,donor9861_sample_328
9004,17,2636,CX,CGMB,"central gray substance of midbrain, left",668916,95,97,100,-2.5,-23.8,-1.7,donor9861,donor9861_sample_329
9067,17,2622,CX,VTA,"ventral tegmental area, left",87534,95,101,101,-2.5,-26,-5.7,donor9861,donor9861_sample_330
9068,17,2661,CX,VTA,"ventral tegmental area, right",87535,92,100,101,0.7,-25.7,-4.6,donor9861,donor9861_sample_331
4395,18,2593,CX,DTA,"anterior group of nuclei, left",346197,100,80,99,-7.6,-18.1,16.2,donor9861,donor9861_sample_332
4400,18,2649,CX,DTM,"medial group of nuclei, left",346199,100,88,102,-7.7,-23.5,8.3,donor9861,donor9861_sample_333
4417,18,2633,CX,DTLv,"lateral group of nuclei, left, ventral division",346201,109,88,101,-17.2,-22.7,7.9,donor9861,donor9861_sample_334
4432,18,2634,CX,ILr,"rostral group of intralaminar nuclei, left",346198,104,86,101,-11.9,-22,10.1,donor9861,donor9861_sample_335
4450,18,2601,CX,DTA,"anterior group of nuclei, right",346196,89,82,104,3.9,-23.7,15.3,donor9861,donor9861_sample_336
4455,18,2657,CX,DTM,"medial group of nuclei, right",246998,90,92,104,2.8,-26.5,4.6,donor9861,donor9861_sample_337
4472,18,2641,CX,DTLv,"lateral group of nuclei, right, ventral division",346194,81,89,106,12.2,-27.5,8.4,donor9861,donor9861_sample_338
4487,18,2642,CX,ILr,"rostral group of intralaminar nuclei, right",346195,86,87,106,7,-27.1,10.4,donor9861,donor9861_sample_339
4492,18,2609,CX,ILc,"caudal group of intralaminar nuclei, right",346205,85,96,104,8,-27.5,0.4,donor9861,donor9861_sample_340
4506,18,2618,CX,R,"reticular nucleus of thalamus, left",690755,112,82,101,-20.3,-21.1,14.2,donor9861,donor9861_sample_341
4512,18,2626,CX,R,"reticular nucleus of thalamus, right",346193,78,82,106,15.5,-25.5,15.9,donor9861,donor9861_sample_342
4534,18,2681,CX,Pa,"paraventricular nuclei, left of thalamus, left",690753,94,95,103,-1.5,-26.4,1.1,donor9861,donor9861_sample_343
4537,18,2594,CX,Pa,"paraventricular nuclei, right of thalamus, right",692725,94,96,103,-1.5,-26.7,0,donor9861,donor9861_sample_344
9004,18,2617,CX,CGMB,"central gray substance of midbrain, left",690751,94,99,103,-1.5,-27.5,-3.2,donor9861,donor9861_sample_345
9005,18,2625,CX,CGMB,"central gray substance of midbrain, right",690752,91,99,103,1.7,-27.5,-3.1,donor9861,donor9861_sample_346
9031,18,2665,CX,3,"oculomotor nuclear complex, left",690749,93,102,103,-0.5,-28.3,-6.4,donor9861,donor9861_sample_347
9039,18,2673,CX,3,"oculomotor nuclear complex, right",690666,92,102,103,0.6,-28.3,-6.4,donor9861,donor9861_sample_348
9054,18,2610,CX,RN,"red nucleus, left",345251,98,99,103,-5.7,-27.6,-3.3,donor9861,donor9861_sample_349
9074,18,2650,CX,SNC,"substantia nigra, pars compacta, left",344708,106,101,102,-14.2,-27.3,-5.8,donor9861,donor9861_sample_350
4367,15,2834,CX,COMA,"cortico-medial group, left",73235,113,99,88,-21.2,-12.3,-6.5,donor9861,donor9861_sample_361
4264,17,2321,CX,CA2,"CA2 field, right",41144,61,102,105,33.3,-29.6,-5.3,donor9861,donor9861_sample_384
4254,15,2474,CX,CA1,"CA1 field, left",41707,120,109,88,-28.6,-15.3,-17.3,donor9861,donor9861_sample_391
4284,14,843,CX,HCd,"head of caudate nucleus, right",39080,79,79,81,15.1,1.5,14.2,donor9861,donor9861_sample_424
4288,14,788,CX,Pu,"putamen, left",39237,116,85,83,-24.1,-3.2,7.4,donor9861,donor9861_sample_425
4289,14,827,CX,Pu,"putamen, right",38875,69,85,84,25.5,-3.1,8.6,donor9861,donor9861_sample_453
4284,14,835,CX,HCd,"head of caudate nucleus, right",39085,78,79,81,16.1,1.6,14.2,donor9861,donor9861_sample_454
4288,14,780,CX,Pu,"putamen, left",39235,118,85,83,-26.2,-3.2,7.4,donor9861,donor9861_sample_457
4280,13,1225,CX,HCd,"head of caudate nucleus, left",73304,104,83,71,-11.1,10.2,7.5,donor9861,donor9861_sample_485
4280,14,851,CX,HCd,"head of caudate nucleus, left",247257,109,78,81,-16.6,1.1,14.7,donor9861,donor9861_sample_489
4282,17,1187,CX,BCd,"body of caudate nucleus, left",41675,110,73,98,-18.1,-15.4,23.3,donor9861,donor9861_sample_492
4295,17,1179,CX,GPe,"globus pallidus, external segment, left",41674,116,90,97,-24.5,-19.3,4.8,donor9861,donor9861_sample_493
4299,15,1266,CX,GPi,"globus pallidus, internal segment, right",38542,81,89,87,12.7,-7.6,4.6,donor9861,donor9861_sample_494
4417,20,2553,CX,DTLv,"lateral group of nuclei, left, ventral division",64577,116,90,108,-24.8,-30.8,7,donor9861,donor9861_sample_495
4444,19,2556,CX,MG,"medial geniculate complex, left",39969,114,99,104,-22.6,-29.1,-3.4,donor9861,donor9861_sample_496
4298,17,1155,CX,GPe,"globus pallidus, external segment, right",863432,70,92,99,24,-20.8,4,donor9861,donor9861_sample_498
4329,15,2450,CX,ATZ,"amygdalohippocampal transition zone, left",73236,111,104,88,-19.1,-13.6,-11.8,donor9861,donor9861_sample_499
9241,18,1029,CX,cgb,"cingulum bundle, left",81148,109,58,90,-16.7,-2.7,37.8,donor9861,donor9861_sample_501
9222,18,1045,CX,cc,corpus callosum,81146,99,71,95,-6.3,-11.4,25.1,donor9861,donor9861_sample_502
4289,13,1217,CX,Pu,"putamen, right",41668,74,90,70,20.6,10.1,0.4,donor9861,donor9861_sample_503
4251,18,2443,CX,S,"subiculum, left",65158,116,110,102,-24.8,-30.1,-15.6,donor9861,donor9861_sample_510
4254,18,2427,CX,CA1,"CA1 field, left",65159,125,106,102,-34.3,-29.2,-11.5,donor9861,donor9861_sample_511
4255,18,2469,CX,CA2,"CA2 field, left",65162,124,103,102,-33.2,-28.4,-8.3,donor9861,donor9861_sample_512
4256,18,2477,CX,CA3,"CA3 field, left",65161,123,103,102,-32.1,-28.3,-8.3,donor9861,donor9861_sample_513
4257,18,2435,CX,CA4,"CA4 field, left",65160,122,104,102,-31.1,-28.6,-9.3,donor9861,donor9861_sample_514
4258,18,2485,CX,DG,"dentate gyrus, left",40629,122,105,102,-31.1,-28.9,-10.4,donor9861,donor9861_sample_515
4281,18,2451,CX,TCd,"tail of caudate nucleus, left",65163,127,103,102,-36.3,-28.4,-8.3,donor9861,donor9861_sample_516
4251,20,2585,CX,S,"subiculum, left",56094,110,103,110,-18.6,-36.4,-6.4,donor9861,donor9861_sample_517
4254,20,2505,CX,CA1,"CA1 field, left",56093,122,104,109,-31.3,-35.9,-7.9,donor9861,donor9861_sample_518
4255,20,2513,CX,CA2,"CA2 field, left",56092,123,101,108,-32.3,-34.1,-4.9,donor9861,donor9861_sample_519
4256,20,2521,CX,CA3,"CA3 field, left",56091,121,101,109,-30.2,-35.1,-4.7,donor9861,donor9861_sample_520
4257,20,2529,CX,CA4,"CA4 field, left",56090,120,103,109,-29.1,-35.6,-6.8,donor9861,donor9861_sample_521
4258,20,2537,CX,DG,"dentate gyrus, left",56089,119,103,109,-28.1,-35.6,-6.8,donor9861,donor9861_sample_522
4395,20,2497,CX,DTA,"anterior group of nuclei, left",64568,103,83,107,-11,-27.4,14.5,donor9861,donor9861_sample_523
4400,20,2561,CX,DTM,"medial group of nuclei, left",64562,102,90,108,-10,-30.4,7.2,donor9861,donor9861_sample_524
4409,20,2545,CX,DTLd,"lateral group of nuclei, left, dorsal division",64570,114,92,108,-22.7,-31.3,4.9,donor9861,donor9861_sample_525
4428,20,2569,CX,DTP,"posterior group of nuclei, left",81133,115,99,108,-23.8,-33.3,-2.6,donor9861,donor9861_sample_526
4432,20,2577,CX,ILr,"rostral group of intralaminar nuclei, left",64569,104,89,108,-12.1,-30.2,8.3,donor9861,donor9861_sample_527
9115,20,2498,CX,SC,"superior colliculus, left",247813,101,101,109,-9.1,-34.5,-4.3,donor9861,donor9861_sample_528
4251,16,2517,CX,S,"subiculum, left",82199,116,113,93,-24.6,-21.5,-20.6,donor9861,donor9861_sample_529
4254,16,2580,CX,CA1,"CA1 field, left",82198,123,108,93,-31.9,-20.3,-15.4,donor9861,donor9861_sample_530
4255,16,2581,CX,CA2,"CA2 field, left",82193,119,104,93,-27.7,-19.1,-11,donor9861,donor9861_sample_531
4256,16,2588,CX,CA3,"CA3 field, left",82196,120,107,93,-28.7,-20,-14.2,donor9861,donor9861_sample_532
4257,16,2501,CX,CA4,"CA4 field, left",82195,122,106,93,-30.8,-19.7,-13.2,donor9861,donor9861_sample_533
4258,16,2510,CX,DG,"dentate gyrus, left",81178,121,106,93,-29.8,-19.7,-13.2,donor9861,donor9861_sample_534
4307,16,2525,CX,SI,"substantia innominata, left",82192,116,98,92,-24.4,-16.3,-4.7,donor9861,donor9861_sample_535
4360,16,2589,CX,CeA,"central nucleus, left",64846,117,99,93,-25.5,-17.6,-5.6,donor9861,donor9861_sample_536
4367,16,2502,CX,COMA,"cortico-medial group, left",64848,115,99,93,-23.4,-17.6,-5.6,donor9861,donor9861_sample_537
4679,16,2509,CX,PHA,"posterior hypothalamic area, left",67291,97,94,93,-4.4,-15.7,0.1,donor9861,donor9861_sample_538
4301,14,2546,CX,SptN,"septal nuclei, left",64823,96,91,83,-3,-4.4,1.4,donor9861,donor9861_sample_539
4304,14,2554,CX,SptN,"septal nuclei, right",247258,91,91,83,2.3,-4.3,1.5,donor9861,donor9861_sample_540
4314,14,2530,CX,SI,"substantia innominata, right",64825,81,96,83,12.8,-5.4,-3.6,donor9861,donor9861_sample_541
4542,14,2506,CX,PrOR,"preoptic region, left",394223,96,100,83,-3.1,-6.9,-8.2,donor9861,donor9861_sample_542
4556,14,2514,CX,PrOR,"preoptic region, right",394224,90,100,83,3.3,-6.8,-8.1,donor9861,donor9861_sample_543
4593,14,2538,CX,SO,"supraoptic nucleus, left",394222,102,101,83,-9.4,-7.3,-9.4,donor9861,donor9861_sample_544
4624,14,2533,CX,SO,"supraoptic nucleus, right",394221,86,100,83,7.5,-6.7,-8,donor9861,donor9861_sample_545
4251,19,2572,CX,S,"subiculum, left",39972,110,104,104,-18.5,-30.4,-8.7,donor9861,donor9861_sample_546
4255,19,2541,CX,CA2,"CA2 field, left",39939,124,105,104,-33.2,-31,-10,donor9861,donor9861_sample_547
4256,19,2549,CX,CA3,"CA3 field, left",39938,123,104,104,-32.2,-30.7,-8.9,donor9861,donor9861_sample_548
4257,19,2557,CX,CA4,"CA4 field, left",39937,122,104,104,-31.1,-30.7,-8.9,donor9861,donor9861_sample_549
4258,19,2532,CX,DG,"dentate gyrus, left",39936,121,103,103,-30,-29.3,-8,donor9861,donor9861_sample_550
4417,19,2540,CX,DTLv,"lateral group of nuclei, left, ventral division",39970,112,96,104,-20.5,-28.2,-0.2,donor9861,donor9861_sample_551
4440,19,2548,CX,LGd,"dorsal lateral geniculate nucleus, left",39968,119,96,104,-27.9,-28.4,-0.3,donor9861,donor9861_sample_552
9004,19,2524,CX,CGMB,"central gray substance of midbrain, left",39971,100,102,105,-7.9,-30.6,-6.1,donor9861,donor9861_sample_553
9079,19,2564,CX,PTec,pretectal region,87394,104,100,105,-12.1,-30.2,-4.1,donor9861,donor9861_sample_554
4260,19,2587,CX,S,"subiculum, right",39548,67,105,107,26.9,-32.7,-8.3,donor9861,donor9861_sample_555
4263,19,2562,CX,CA1,"CA1 field, right",39547,62,105,108,32.1,-33.6,-8,donor9861,donor9861_sample_556
4264,19,2570,CX,CA2,"CA2 field, right",39478,62,103,109,32.1,-34.1,-5.6,donor9861,donor9861_sample_557
4265,19,2578,CX,CA3,"CA3 field, right",39477,63,103,108,31.1,-33.1,-5.9,donor9861,donor9861_sample_558
4266,19,2586,CX,CA4,"CA4 field, right",39475,64,104,108,30,-33.4,-6.9,donor9861,donor9861_sample_559
4267,19,2515,CX,DG,"dentate gyrus, right",39439,63,104,108,31.1,-33.4,-6.9,donor9861,donor9861_sample_560
4285,19,2500,CX,TCd,"tail of caudate nucleus, right",67111,63,100,108,31.1,-32.3,-2.6,donor9861,donor9861_sample_561
4455,19,2539,CX,DTM,"medial group of nuclei, right",67122,90,92,108,2.7,-30.7,5.4,donor9861,donor9861_sample_562
4464,19,2523,CX,DTLd,"lateral group of nuclei, right, dorsal division",67124,73,97,108,20.6,-31.7,0.4,donor9861,donor9861_sample_563
4472,19,2531,CX,DTLv,"lateral group of nuclei, right, ventral division",67123,73,91,108,20.6,-30,6.8,donor9861,donor9861_sample_564
4483,19,2516,CX,DTP,"posterior group of nuclei, right",67120,86,99,107,6.8,-31.5,-2.2,donor9861,donor9861_sample_565
4487,19,2571,CX,ILr,"rostral group of intralaminar nuclei, right",67125,85,93,108,7.9,-30.8,4.4,donor9861,donor9861_sample_566
4492,19,2563,CX,ILc,"caudal group of intralaminar nuclei, right",67170,87,94,108,5.8,-31.2,3.3,donor9861,donor9861_sample_567
4528,19,2555,CX,Hm,"medial habenular nucleus, right",75014,95,96,106,-2.6,-29.8,0.6,donor9861,donor9861_sample_568
4529,19,2547,CX,Hl,"lateral habenular nucleus, right",87442,94,97,106,-1.6,-30.1,-0.5,donor9861,donor9861_sample_569
9004,19,2499,CX,CGMB,"central gray substance of midbrain, left",75016,96,102,106,-3.7,-31.6,-5.8,donor9861,donor9861_sample_570
9005,19,2507,CX,CGMB,"central gray substance of midbrain, right",67190,96,103,106,-3.7,-31.8,-6.9,donor9861,donor9861_sample_571
9079,19,2579,CX,PTec,pretectal region,87432,89,100,107,3.7,-31.9,-3.4,donor9861,donor9861_sample_572
4472,19,2508,CX,DTLv,"lateral group of nuclei, right, ventral division",75476,72,91,108,21.7,-30,6.8,donor9861,donor9861_sample_573
4251,15,2411,CX,S,"subiculum, left",41706,113,112,88,-21.3,-16,-20.4,donor9861,donor9861_sample_574
4342,15,2458,CX,BLA,"basolateral nucleus, left",69037,116,104,88,-24.4,-13.8,-11.9,donor9861,donor9861_sample_575
4351,15,2466,CX,BMA,"basomedial nucleus, left",69078,115,102,88,-23.3,-13.2,-9.8,donor9861,donor9861_sample_576
4379,15,2403,CX,LA,"lateral nucleus, left",81015,119,105,88,-27.5,-14.1,-13,donor9861,donor9861_sample_577
4379,15,2442,CX,LA,"lateral nucleus, left",81121,118,105,88,-26.5,-14.1,-13,donor9861,donor9861_sample_578
4255,17,2467,CX,CA2,"CA2 field, left",41209,121,104,100,-30,-26.5,-9.7,donor9861,donor9861_sample_581
4256,17,2475,CX,CA3,"CA3 field, left",41210,119,104,100,-27.8,-26.4,-9.6,donor9861,donor9861_sample_582
4257,17,2483,CX,CA4,"CA4 field, left",41208,118,105,100,-26.8,-26.7,-10.7,donor9861,donor9861_sample_583
4289,12,533,CX,Pu,"putamen, right",81049,76,92,66,18.6,13.7,-2.6,donor9861,donor9861_sample_629
4280,12,502,CX,HCd,"head of caudate nucleus, left",39165,107,78,66,-14.1,16.8,11.8,donor9861,donor9861_sample_651
4288,12,486,CX,Pu,"putamen, left",39166,114,89,66,-21.5,13.5,-0.1,donor9861,donor9861_sample_652
4288,12,494,CX,Pu,"putamen, left",39166,113,89,66,-20.5,13.6,-0.1,donor9861,donor9861_sample_653
4289,12,541,CX,Pu,"putamen, right",81045,75,92,66,19.6,13.7,-2.5,donor9861,donor9861_sample_656
4284,12,557,CX,HCd,"head of caudate nucleus, right",81046,82,87,66,12.3,14.9,2.7,donor9861,donor9861_sample_660
4280,12,510,CX,HCd,"head of caudate nucleus, left",278279,106,78,66,-13,16.8,11.8,donor9861,donor9861_sample_661
4264,20,2322,CX,CA2,"CA2 field, right",38729,64,100,111,30,-35.4,-2.1,donor9861,donor9861_sample_774
4323,13,2362,CX,Cl,"claustrum, right",32180,64,88,70,31.2,10.9,2.7,donor9861,donor9861_sample_783
4323,13,2378,CX,Cl,"claustrum, right",82148,65,107,74,29.8,1.3,-16.8,donor9861,donor9861_sample_784
